law_name,url
תקנות האגודות השיתופיות (קרן מילואים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A7%D7%A8%D7%9F_%D7%9E%D7%99%D7%9C%D7%95%D7%90%D7%99%D7%9D)
תקנות האגודות השיתופיות (רשויות האגודה),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A8%D7%A9%D7%95%D7%99%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%94)
תקנות האגודות השיתופיות (שיוך אמצעי ייצור בקיבוץ מתחדש),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A9%D7%99%D7%95%D7%9A_%D7%90%D7%9E%D7%A6%D7%A2%D7%99_%D7%99%D7%99%D7%A6%D7%95%D7%A8_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%9E%D7%AA%D7%97%D7%93%D7%A9)
תקנות האגודות השיתופיות (שיוך דירות בקיבוץ מתחדש),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A9%D7%99%D7%95%D7%9A_%D7%93%D7%99%D7%A8%D7%95%D7%AA_%D7%91%D7%A7%D7%99%D7%91%D7%95%D7%A5_%D7%9E%D7%AA%D7%97%D7%93%D7%A9)
תקנות האגודות השיתופיות (שעבודים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA_(%D7%A9%D7%A2%D7%91%D7%95%D7%93%D7%99%D7%9D)
תקנות העבירות המינהליות (קנס מינהלי – אגודות שיתופיות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%94%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA_%D7%94%D7%9E%D7%99%D7%A0%D7%94%D7%9C%D7%99%D7%95%D7%AA_(%D7%A7%D7%A0%D7%A1_%D7%9E%D7%99%D7%A0%D7%94%D7%9C%D7%99_%E2%80%93_%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA_%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA)
תקנות אגרות חקלאיות (הצמדה למדד),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%92%D7%A8%D7%95%D7%AA_%D7%97%D7%A7%D7%9C%D7%90%D7%99%D7%95%D7%AA_(%D7%94%D7%A6%D7%9E%D7%93%D7%94_%D7%9C%D7%9E%D7%93%D7%93)
חוק אוויר נקי,https://he.wikisource.org/wiki/%D7%97%D7%95%D7%A7_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99
תקנות אוויר נקי (אגרות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%90%D7%92%D7%A8%D7%95%D7%AA)
תקנות אוויר נקי (איכות אויר),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%90%D7%99%D7%9B%D7%95%D7%AA_%D7%90%D7%95%D7%99%D7%A8)
תקנות אוויר נקי (גילוי נתוני זיהום אוויר מרכב מנועי בפרסומת),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%92%D7%99%D7%9C%D7%95%D7%99_%D7%A0%D7%AA%D7%95%D7%A0%D7%99_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%9E%D7%A8%D7%9B%D7%91_%D7%9E%D7%A0%D7%95%D7%A2%D7%99_%D7%91%D7%A4%D7%A8%D7%A1%D7%95%D7%9E%D7%AA)
תקנות אוויר נקי (היתרי פליטה),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%94%D7%99%D7%AA%D7%A8%D7%99_%D7%A4%D7%9C%D7%99%D7%98%D7%94)
תקנות אוויר נקי (הפחתה של סכום עיצום כספי ופריסת תשלומים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%94%D7%A4%D7%97%D7%AA%D7%94_%D7%A9%D7%9C_%D7%A1%D7%9B%D7%95%D7%9D_%D7%A2%D7%99%D7%A6%D7%95%D7%9D_%D7%9B%D7%A1%D7%A4%D7%99_%D7%95%D7%A4%D7%A8%D7%99%D7%A1%D7%AA_%D7%AA%D7%A9%D7%9C%D7%95%D7%9E%D7%99%D7%9D)
תקנות למניעת מפגעים (זיהום אויר מחצרים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%9E%D7%A4%D7%92%D7%A2%D7%99%D7%9D_(%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%99%D7%A8_%D7%9E%D7%97%D7%A6%D7%A8%D7%99%D7%9D)
תקנות אוויר נקי (זיהום אוויר מכלי רכב),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%9E%D7%9B%D7%9C%D7%99_%D7%A8%D7%9B%D7%91)
תקנות אוויר נקי (זיהום אוויר מכלי רכב בדרך),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%9E%D7%9B%D7%9C%D7%99_%D7%A8%D7%9B%D7%91_%D7%91%D7%93%D7%A8%D7%9A)
תקנות למניעת מפגעים (זיהום אויר ממבערי מזוט להסקה ביתית),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%9E%D7%A4%D7%92%D7%A2%D7%99%D7%9D_(%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%99%D7%A8_%D7%9E%D7%9E%D7%91%D7%A2%D7%A8%D7%99_%D7%9E%D7%96%D7%95%D7%98_%D7%9C%D7%94%D7%A1%D7%A7%D7%94_%D7%91%D7%99%D7%AA%D7%99%D7%AA)
תקנות למניעת מפגעים (מניעת זיהום אויר וריח בלתי סבירים מאתרים לסילוק פסולת),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%9E%D7%A4%D7%92%D7%A2%D7%99%D7%9D_(%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%99%D7%A8_%D7%95%D7%A8%D7%99%D7%97_%D7%91%D7%9C%D7%AA%D7%99_%D7%A1%D7%91%D7%99%D7%A8%D7%99%D7%9D_%D7%9E%D7%90%D7%AA%D7%A8%D7%99%D7%9D_%D7%9C%D7%A1%D7%99%D7%9C%D7%95%D7%A7_%D7%A4%D7%A1%D7%95%D7%9C%D7%AA)
תקנות אוויר נקי (מניעת זיהום אוויר וריח מתחנות דלק),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%95%D7%A8%D7%99%D7%97_%D7%9E%D7%AA%D7%97%D7%A0%D7%95%D7%AA_%D7%93%D7%9C%D7%A7)
תקנות למניעת מפגעים (מניעת זיהום אוויר ורעש ממחצבה),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%9E%D7%A4%D7%92%D7%A2%D7%99%D7%9D_(%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%95%D7%A8%D7%A2%D7%A9_%D7%9E%D7%9E%D7%97%D7%A6%D7%91%D7%94)
תקנות אוויר נקי (ערכי איכות אוויר) (הוראת שעה),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%A0%D7%A7%D7%99_(%D7%A2%D7%A8%D7%9B%D7%99_%D7%90%D7%99%D7%9B%D7%95%D7%AA_%D7%90%D7%95%D7%95%D7%99%D7%A8)_(%D7%94%D7%95%D7%A8%D7%90%D7%AA_%D7%A9%D7%A2%D7%94)
תקנות מניעת מפגעים (שמן משומש),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%9E%D7%A0%D7%99%D7%A2%D7%AA_%D7%9E%D7%A4%D7%92%D7%A2%D7%99%D7%9D_(%D7%A9%D7%9E%D7%9F_%D7%9E%D7%A9%D7%95%D7%9E%D7%A9)
צו סדר הדין הפלילי (עבירות קנס – זיהום אוויר מכלי רכב),https://he.wikisource.org/wiki/%D7%A6%D7%95_%D7%A1%D7%93%D7%A8_%D7%94%D7%93%D7%99%D7%9F_%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99_(%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA_%D7%A7%D7%A0%D7%A1_%E2%80%93_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%9E%D7%9B%D7%9C%D7%99_%D7%A8%D7%9B%D7%91)
צו סדר הדין הפלילי (עבירות קנס – זיהום אוויר מכלי רכב בדרך),https://he.wikisource.org/wiki/%D7%A6%D7%95_%D7%A1%D7%93%D7%A8_%D7%94%D7%93%D7%99%D7%9F_%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99_(%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA_%D7%A7%D7%A0%D7%A1_%E2%80%93_%D7%96%D7%99%D7%94%D7%95%D7%9D_%D7%90%D7%95%D7%95%D7%99%D7%A8_%D7%9E%D7%9B%D7%9C%D7%99_%D7%A8%D7%9B%D7%91_%D7%91%D7%93%D7%A8%D7%9A)
צו סדר הדין הפלילי (עבירות קנס – שמן משומש),https://he.wikisource.org/wiki/%D7%A6%D7%95_%D7%A1%D7%93%D7%A8_%D7%94%D7%93%D7%99%D7%9F_%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99_(%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA_%D7%A7%D7%A0%D7%A1_%E2%80%93_%D7%A9%D7%9E%D7%9F_%D7%9E%D7%A9%D7%95%D7%9E%D7%A9)
חוק אומנה לילדים,https://he.wikisource.org/wiki/%D7%97%D7%95%D7%A7_%D7%90%D7%95%D7%9E%D7%A0%D7%94_%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D
תקנות אומנה לילדים (בקשה לרישיון),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%9E%D7%A0%D7%94_%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D_(%D7%91%D7%A7%D7%A9%D7%94_%D7%9C%D7%A8%D7%99%D7%A9%D7%99%D7%95%D7%9F)
תקנות אומנה לילדים (הכשרת מפקחים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%9E%D7%A0%D7%94_%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D_(%D7%94%D7%9B%D7%A9%D7%A8%D7%AA_%D7%9E%D7%A4%D7%A7%D7%97%D7%99%D7%9D)
תקנות אומנה לילדים (מנגנון תלונה לילדים במסגרת השמה חוץ-ביתית),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%95%D7%9E%D7%A0%D7%94_%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D_(%D7%9E%D7%A0%D7%92%D7%A0%D7%95%D7%9F_%D7%AA%D7%9C%D7%95%D7%A0%D7%94_%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D_%D7%91%D7%9E%D7%A1%D7%92%D7%A8%D7%AA_%D7%94%D7%A9%D7%9E%D7%94_%D7%97%D7%95%D7%A5-%D7%91%D7%99%D7%AA%D7%99%D7%AA)
חוק אזור סחר חפשי באילת (פטורים והנחות ממסים),https://he.wikisource.org/wiki/%D7%97%D7%95%D7%A7_%D7%90%D7%96%D7%95%D7%A8_%D7%A1%D7%97%D7%A8_%D7%97%D7%A4%D7%A9%D7%99_%D7%91%D7%90%D7%99%D7%9C%D7%AA_(%D7%A4%D7%98%D7%95%D7%A8%D7%99%D7%9D_%D7%95%D7%94%D7%A0%D7%97%D7%95%D7%AA_%D7%9E%D7%9E%D7%A1%D7%99%D7%9D)
תקנות אזור סחר חפשי באילת (פטורים והנחות ממסים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8_%D7%A1%D7%97%D7%A8_%D7%97%D7%A4%D7%A9%D7%99_%D7%91%D7%90%D7%99%D7%9C%D7%AA_(%D7%A4%D7%98%D7%95%D7%A8%D7%99%D7%9D_%D7%95%D7%94%D7%A0%D7%97%D7%95%D7%AA_%D7%9E%D7%9E%D7%A1%D7%99%D7%9D)
תקנות אזור סחר חפשי באילת (קביעת מקום באזור אילת),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8_%D7%A1%D7%97%D7%A8_%D7%97%D7%A4%D7%A9%D7%99_%D7%91%D7%90%D7%99%D7%9C%D7%AA_(%D7%A7%D7%91%D7%99%D7%A2%D7%AA_%D7%9E%D7%A7%D7%95%D7%9D_%D7%91%D7%90%D7%96%D7%95%D7%A8_%D7%90%D7%99%D7%9C%D7%AA)
הוראות אזור סחר חפשי באילת (סימון טובין),https://he.wikisource.org/wiki/%D7%94%D7%95%D7%A8%D7%90%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8_%D7%A1%D7%97%D7%A8_%D7%97%D7%A4%D7%A9%D7%99_%D7%91%D7%90%D7%99%D7%9C%D7%AA_(%D7%A1%D7%99%D7%9E%D7%95%D7%9F_%D7%98%D7%95%D7%91%D7%99%D7%9F)
הוראות אזור סחר חפשי באילת (פיקוח על הכנסת טובין והוצאתם),https://he.wikisource.org/wiki/%D7%94%D7%95%D7%A8%D7%90%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8_%D7%A1%D7%97%D7%A8_%D7%97%D7%A4%D7%A9%D7%99_%D7%91%D7%90%D7%99%D7%9C%D7%AA_(%D7%A4%D7%99%D7%A7%D7%95%D7%97_%D7%A2%D7%9C_%D7%94%D7%9B%D7%A0%D7%A1%D7%AA_%D7%98%D7%95%D7%91%D7%99%D7%9F_%D7%95%D7%94%D7%95%D7%A6%D7%90%D7%AA%D7%9D)
חוק אזורי נמל חפשיים,https://he.wikisource.org/wiki/%D7%97%D7%95%D7%A7_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D
תקנות אזורי נמל חפשיים (אגרות),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D_(%D7%90%D7%92%D7%A8%D7%95%D7%AA)
תקנות אזורי נמל חפשיים (פטור ממסים),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D_(%D7%A4%D7%98%D7%95%D7%A8_%D7%9E%D7%9E%D7%A1%D7%99%D7%9D)
תקנות אזורי נמל חפשיים (פטור ממסים) (אילת),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D_(%D7%A4%D7%98%D7%95%D7%A8_%D7%9E%D7%9E%D7%A1%D7%99%D7%9D)_(%D7%90%D7%99%D7%9C%D7%AA)
תקנות אזורי נמל חפשיים (פעולות בטובין וסדרי פיקוח עליהם),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D_(%D7%A4%D7%A2%D7%95%D7%9C%D7%95%D7%AA_%D7%91%D7%98%D7%95%D7%91%D7%99%D7%9F_%D7%95%D7%A1%D7%93%D7%A8%D7%99_%D7%A4%D7%99%D7%A7%D7%95%D7%97_%D7%A2%D7%9C%D7%99%D7%94%D7%9D)
תקנות אזורי נמל חפשיים (פרסום אישור מיזם מורשה),https://he.wikisource.org/wiki/%D7%AA%D7%A7%D7%A0%D7%95%D7%AA_%D7%90%D7%96%D7%95%D7%A8%D7%99_%D7%A0%D7%9E%D7%9C_%D7%97%D7%A4%D7%A9%D7%99%D7%99%D7%9D_(%D7%A4%D7%A8%D7%A1%D7%95%D7%9D_%D7%90%D7%99%D7%A9%D7%95%D7%A8_%D7%9E%D7%99%D7%96%D7%9D_%D7%9E%D7%95%D7%A8%D7%A9%D7%94)
חוק אזורים חופשיים לייצור בישראל,https://he.wikisource.org/wiki/%D7%97%D7%95%D7%A7_%D7%90%D7%96%D7%95%D7%A8%D7%99%D7%9D_%D7%97%D7%95%D7%A4%D7%A9%D7%99%D7%99%D7%9D_%D7%9C%D7%99%D7%99%D7%A6%D7%95%D7%A8_%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C
